n_points,HI_percent,SA_dyne_s_cm2,mean_inlet_velocity
80,1.2113116884589085e-05,1.0423162334110476,0.132707402
114,1.6486531256017233e-05,1.5908225459128555,0.13288334
81,1.2155833077886606e-05,1.0453955537909805,0.133191422
111,1.6702714222533675e-05,1.5818947595151658,0.133845493
115,1.6467636890556014e-05,1.5673575370913457,0.13351205
81,1.238939786009148e-05,1.0401685904388114,0.134306073
111,1.6763170407560196e-05,1.5764740764111231,0.134619609
118,1.675300179494253e-05,1.5792336432040306,0.135795638
80,1.238444352608295e-05,1.0292351805279194,0.135624558
113,1.6869968156915546e-05,1.5859249666172641,0.13660574
88,1.227262897164198e-05,1.017388911925475,0.136445597
82,1.2283166775588938e-05,1.0187998220138355,0.136264354
78,1.2316254869148437e-05,1.0221238545834561,0.135461122
84,1.2361419479850795e-05,1.0304721023836632,0.135141939
75,1.2411440971277265e-05,1.0319581991627882,0.134962291
83,1.2320627669701571e-05,1.0245092733440269,0.136288136
117,1.6831905855671654e-05,1.5878557740702726,0.136605725
77,1.2329709998242272e-05,1.0219192358611136,0.135959655
84,1.2312147663796953e-05,1.0219650857895772,0.136275932
82,1.2307639728706718e-05,1.0193720656912943,0.136770815
79,1.2244378825882393e-05,1.017360586991358,0.136936113
80,1.237730559009263e-05,1.032013194084433,0.134954885
82,1.2354985060422264e-05,1.0288047777222977,0.135152102
114,1.6858311286915254e-05,1.5890179290601216,0.135597214
82,1.2401814285317977e-05,1.0275703185249325,0.135795683
80,1.2213570655979415e-05,1.0130441953513163,0.136936098
85,1.2319158414881756e-05,1.0216953351269762,0.137114167
83,1.228748805190248e-05,1.0135522021236036,0.13743335
83,1.2219131852222672e-05,1.0103352474494827,0.137587458
84,1.2271770548346102e-05,1.0146089532739073,0.137433365
84,1.2320906997544094e-05,1.0176202372725582,0.137279913
118,1.6691501133570777e-05,1.5683301383687944,0.13724485
113,1.68820692518157e-05,1.583152973236376,0.136783376
114,1.635330264864737e-05,1.5853276344162064,0.132553115
111,1.6280951440997284e-05,1.589308936902312,0.132246956
111,1.6191176097458763e-05,1.592685192233996,0.132054895
78,1.1784543294126341e-05,1.0467050295342841,0.131744936
110,1.5709842403416817e-05,1.5693862505194107,0.131520301
109,1.5698561065266175e-05,1.5775902565573678,0.131321773
112,1.553646310423798e-05,1.5776729847563746,0.131214306
108,1.5535087406951752e-05,1.5804030076930689,0.131074458
112,1.54445426522575e-05,1.5882660491714147,0.130892113
111,1.5136071178308057e-05,1.559767250681678,0.130859613
110,1.5237615173551217e-05,1.5771006420453617,0.130752206
110,1.5280289218871694e-05,1.5789298559331577,0.130752191
109,1.5319038250635037e-05,1.586648262929838,0.13056995
108,1.5092668152747809e-05,1.566301355211216,0.130644932
113,1.5294072697268323e-05,1.5865120562828283,0.130677432
115,1.4853198876628448e-05,1.5589050511968472,0.130537495
114,1.5238112202877806e-05,1.5838176268947137,0.130677462
82,1.2243448603004952e-05,1.0407080461781086,0.133845791
113,1.6683496626494634e-05,1.5980405217409603,0.133517072
85,1.2143427791781076e-05,1.0382717895714433,0.133340046
113,1.671626604369047e-05,1.5781720583154695,0.134619787
81,1.2504336737136231e-05,1.0409777375991511,0.134816512
110,1.6731360278600884e-05,1.586066642662616,0.134156793
113,1.6291952643385445e-05,1.5784937650141688,0.132859915
113,1.6208532966638285e-05,1.5652296173201923,0.133027017
112,1.5436074442016095e-05,1.574937196184816,0.131074294
111,1.5235855448488964e-05,1.566014336110522,0.130859539
110,1.5129329183501235e-05,1.5566375707764608,0.130859524
110,1.61230914122759e-05,1.5819490974928039,0.13223502
115,1.6258063237999306e-05,1.5928174978111829,0.132389233
110,1.5745826568807448e-05,1.586033269410203,0.13128908
107,1.571308541341714e-05,1.5727411945644372,0.131396487
80,1.1700214670092002e-05,1.0445690741765186,0.131503969
112,1.5537976148342805e-05,1.5740413957088992,0.131090522
110,1.6142138872699556e-05,1.5908649788276457,0.131906763
114,1.589851074927754e-05,1.5597631049031733,0.132072061
110,1.600349241622312e-05,1.587036494473672,0.131627589
74,1.1968096004947713e-05,1.0302029006513327,0.132552758
81,1.2098357201325232e-05,1.0401544096560413,0.1327167
75,1.1937437869622113e-05,1.0190074167267567,0.133019418
113,1.626876723548855e-05,1.5583758589240342,0.133329377
114,1.6516648184908395e-05,1.5635540218053174,0.134006679
113,1.6607167401999935e-05,1.5884946112393041,0.133833706
77,1.2051437276651119e-05,1.0192009011466907,0.133523777
75,1.2154547247328546e-05,1.0148045014974933,0.134317815
112,1.664661394329085e-05,1.5652694800613023,0.13462995
116,1.6651265121551625e-05,1.5668085843146748,0.134809092
82,1.231312067290331e-05,1.0195343158362835,0.135959625
85,1.231633871737656e-05,1.0214702136065736,0.136276245
115,1.6977874374915395e-05,1.591246670136326,0.135795638
81,1.2270929651080954e-05,1.0190213983063345,0.136748239
113,1.6862055936714366e-05,1.5834822363464447,0.135631889
114,1.677231512873145e-05,1.581175036609064,0.135456458
81,1.2356492267409976e-05,1.0283882126669186,0.135141969
80,1.2331697032526212e-05,1.0250109170104025,0.136605486
113,1.675052452071554e-05,1.572735315518199,0.136923701
116,1.6805734994269046e-05,1.584578697567384,0.136253431
115,1.69353282319368e-05,1.5843112389052028,0.136452809
83,1.2303486834429355e-05,1.0147639595344524,0.137244716
81,1.2337989346958098e-05,1.020241596942721,0.137255028
80,1.2366724525507028e-05,1.0286069926920258,0.135152072
114,1.6783653137685105e-05,1.5829360376214199,0.13546811
115,1.6942313578406705e-05,1.5887382339685256,0.135783285
83,1.231845917328336e-05,1.0232726910843204,0.136111483
84,1.22636062645357e-05,1.0107758356546015,0.137433335
116,1.6744070567073375e-05,1.5719908567745213,0.137611985
82,1.2297187586888107e-05,1.013587537759943,0.137909845
83,1.2210652381283338e-05,1.0117254849804262,0.137778372
82,1.2270822636065949e-05,1.0190916192304587,0.137766048
82,1.2279485637393491e-05,1.0182782183148191,0.137599617
85,1.2275215437739173e-05,1.0171894123634149,0.137114182
117,1.6813997362262944e-05,1.5772174975043898,0.137456134
79,1.224130937078962e-05,1.015146408562628,0.136936143
114,1.641205039276858e-05,1.5927594212078504,0.132553086
82,1.1949913370336182e-05,1.045944224218316,0.132247284
112,1.5991190332940408e-05,1.5773524298629302,0.132054895
112,1.5951616523373434e-05,1.588627880190099,0.131744951
110,1.5647574622724916e-05,1.5620891626029465,0.131520331
111,1.5963271147672186e-05,1.597449792184938,0.131412864
111,1.558986852678505e-05,1.5808926870721094,0.131181806
109,1.5602688480191773e-05,1.5893922801558027,0.130999535
111,1.5160528014054607e-05,1.5721039678093927,0.130752236
107,1.537290236359839e-05,1.5749315964950248,0.130859613
111,1.5354284418657963e-05,1.5929686848605915,0.130570069
109,1.520232159431539e-05,1.5717969408597836,0.130644813
109,1.5174129261702313e-05,1.58487292739559,0.130430177
109,1.5086829371252659e-05,1.5819593811164385,0.130462632
109,1.5080290666885478e-05,1.5731938059966193,0.13053751
109,1.5067800164761396e-05,1.5858665237212293,0.130355403
112,1.5087909443040686e-05,1.5756913823569976,0.130537525
82,1.2242258350389583e-05,1.038460581599233,0.133845851
82,1.2242566102507352e-05,1.0355429250843635,0.133668199
78,1.2174423903349716e-05,1.0404473194834942,0.133340001
115,1.699377480524248e-05,1.6000688213224306,0.134502321
83,1.2416645830549803e-05,1.0357045842283417,0.134816512
86,1.2377895776016745e-05,1.0286820052031904,0.135270953
83,1.2343151465538278e-05,1.0356007086282715,0.134168491
116,1.6454459172333587e-05,1.5887986179131088,0.132871777
